ATOM                     RYDBERG                  RYDBERG                  RYDBERG                  TS - REAC                % CHANGE                 PROD - TS                % CHANGE                 
C[9]                     0.07431                  0.06751                  0.06578                  -0.0068                  -9.15085452833           -0.00173                 -2.56258332099           
O[3]                     0.02279                  0.02141                  0.02075                  -0.00138                 -6.05528740676           -0.00066                 -3.08267164876           
O[4]                     0.02264                  0.02078                  0.02095                  -0.00186                 -8.21554770318           0.00017                  0.818094321463           
C[7]                     0.04916                  0.05023                  0.04926                  0.00107                  2.17656631408            -0.00097                 -1.93111686243           
C[8]                     0.03699                  0.05067                  0.02404                  0.01368                  36.9829683698            -0.02663                 -52.555752911            
O[2]                     0.01668                  0.01943                  0.02461                  0.00275                  16.4868105516            0.00518                  26.6598044261            
C[5]                     0.05079                  0.04993                  0.05188                  -0.00086                 -1.69324670211           0.00195                  3.90546765472            
O[1]                     0.02366                  0.02043                  0.01734                  -0.00323                 -13.6517328825           -0.00309                 -15.1248164464           
C[6]                     0.02901                  0.01685                  0.01909                  -0.01216                 -41.9165804895           0.00224                  13.293768546             
H[10]                    0.0010                   0.0011                   0.0011                   0.0001                   10.0                     0.0                      0.0                      
H[11]                    0.0019                   0.0012                   0.0014                   -0.0007                  -36.8421052632           0.0002                   16.6666666667            
H[12]                    0.0028                   0.0030                   0.0023                   0.0002                   7.14285714286            -0.0007                  -23.3333333333           
H[13]                    0.0026                   0.0019                   0.0029                   -0.0007                  -26.9230769231           0.001                    52.6315789474            
H[14]                    0.0019                   0.0017                   0.0017                   -0.0002                  -10.5263157895           0.0                      0.0                      
H[15]                    0.0022                   0.0017                   0.0013                   -0.0005                  -22.7272727273           -0.0004                  -23.5294117647           
