ATOM                     VALENCE                  VALENCE                  VALENCE                  TS - REAC                % CHANGE                 PROD - TS                % CHANGE                 
C[9]                     3.17167                  3.20075                  3.23510                  0.02908                  0.916867139393           0.03435                  1.07318597204            
O[3]                     6.80059                  6.78787                  6.78372                  -0.01272                 -0.187042594834          -0.00415                 -0.0611384720096         
O[4]                     6.80992                  6.80003                  6.77530                  -0.00989                 -0.145229312532          -0.02473                 -0.36367486614           
C[7]                     3.83154                  3.65434                  3.45961                  -0.1772                  -4.62477228477           -0.19473                 -5.32873241132           
C[8]                     4.70394                  4.83461                  4.69618                  0.13067                  2.77788407165            -0.13843                 -2.86331265604           
O[2]                     6.89949                  6.74830                  6.61855                  -0.15119                 -2.19132138752           -0.12975                 -1.9227064594            
C[5]                     3.36922                  3.51714                  3.78124                  0.14792                  4.39033366773            0.2641                   7.5089419244             
O[1]                     6.62885                  6.71687                  6.93618                  0.08802                  1.32783212774            0.21931                  3.26506244724            
C[6]                     4.75798                  4.72188                  4.69318                  -0.0361                  -0.758725341426          -0.0287                  -0.60780875414           
H[10]                    0.7579                   0.7574                   0.7714                   -0.0005                  -0.065971764085          0.014                    1.84842883549            
H[11]                    0.7634                   0.7683                   0.7862                   0.0049                   0.641865339272           0.0179                   2.32981908109            
H[12]                    0.7969                   0.7970                   0.8017                   0.0001                   0.0125486259255          0.0047                   0.589711417817           
H[13]                    0.8010                   0.7890                   0.8036                   -0.012                   -1.49812734082           0.0146                   1.85044359949            
H[14]                    0.7541                   0.7600                   0.7798                   0.0059                   0.782389603501           0.0198                   2.60526315789            
H[15]                    0.8188                   0.8228                   0.7774                   0.004                    0.488519785051           -0.0454                  -5.5177442878            
