BOND TYPE                ATOMS                    R                        TS                       P                        TS-R                     % CHANGE                 P-TS                     % CHANGE                 
BD                       C[7]- O[2]               -0.53741                 -0.64742                 -0.74342                 -0.11001                 20.4704043468            -0.096                   14.8280868679            
BD                       C[7]- C[5]               0.79209                  -0.64742                 -0.08088                 -1.43951                 -181.735661352           0.56654                  -87.5073368138           
BD                       C[7]- C[9]               -0.2826                  -0.64742                 0.88046                  -0.05841                 20.6687898089            1.52788                  -235.995180872           
BD                       C[7]- C[8]               0.6603                   -0.64742                 0.34246                  -1.00131                 -151.644706951           0.98988                  -152.896110716           
BD                       C[5]- O[1]               N/A                      -0.64742                 -0.26467                 N/A                      N/A                      0.07634                  -22.3864402803           
BD                       C[5]- O[1]               -0.24039                 -0.64742                 0.62636                  0.24623                  -102.429385582           0.96737                  -283.677898009           
BD                       C[5]- C[6]               0.61629                  -0.64742                 N/A                      -0.61045                 -99.0523941651           N/A                      N/A                      
BD                       C[6]- H[10               -0.77803                 -0.64742                 N/A                      0.05797                  -7.45086950375           N/A                      N/A                      
BD                       C[6]- H[11               -0.07874                 -0.64742                 -0.54049                 -0.64132                 814.478028956            0.17957                  -24.9381995945           
BD                       C[6]- H[12               0.88322                  -0.64742                 0.77196                  -1.60328                 -181.526686443           1.49202                  -207.207732689           
BD                       C[9]- O[3]               0.31812                  -0.64742                 -0.54049                 -1.03818                 -326.348547718           -0.48564                 885.396536007            
BD                       C[9]- O[4]               -0.77803                 -0.64742                 0.77196                  0.72318                  -92.9501433107           0.82681                  -1507.40200547           
BD                       C[9]- O[4]               -0.07874                 -0.64742                 N/A                      0.02389                  -30.3403606807           N/A                      N/A                      
BD                       C[8]- H[13               0.88322                  -0.64742                 -0.207                   -0.93807                 -106.210230747           0.0256                   -11.0060189166           
BD                       C[8]- H[14               0.31812                  -0.64742                 0.7431                   -0.37297                 -117.241921288           0.9757                   -419.475494411           
BD                       C[8]- H[15               -0.3285                  -0.64742                 -0.2136                  0.00302                  -0.919330289193          0.0153                   -6.68414154653           
CR                       C[7]                     0.63254                  -0.64742                 0.7324                   -0.95802                 -151.456034401           0.9613                   -419.96505024            
CR                       O[2]                     -0.2423                  -0.64742                 -0.2103                  0.0097                   -4.00330169212           0.0232                   -9.93576017131           
CR                       C[5]                     0.7231                   -0.64742                 0.7167                   -0.9557                  -132.167058498           0.9502                   -406.937901499           
CR                       O[1]                     -0.2391                  -0.64742                 -0.6734                  0.0102                   -4.26599749059           -0.01248                 1.88827694729            
