ATOM                     CHARGE                   CHARGE                   CHARGE                   TS - REAC                % CHANGE                 PROD - TS                % CHANGE                 
C[9]                     0.75454                  0.73234                  0.69968                  -0.0222                  -2.94218994354           -0.03266                 -4.45967719912           
O[3]                     -0.82317                 -0.80906                 -0.80427                 0.01411                  -1.71410522735           0.00479                  -0.592045089363          
O[4]                     -0.83235                 -0.82061                 -0.79604                 0.01174                  -1.41046434793           0.02457                  -2.99411413461           
C[7]                     0.12036                  0.29652                  0.49196                  0.17616                  146.360917248            0.19544                  65.9112370161            
C[8]                     -0.74037                 -0.88474                 -0.71965                 -0.14437                 19.4997096047            0.16509                  -18.6597192396           
O[2]                     -0.91601                 -0.76751                 -0.64294                 0.1485                   -16.2116134103           0.12457                  -16.2304074214           
C[5]                     0.58068                  0.43380                  0.16773                  -0.14688                 -25.2944823311           -0.26607                 -61.3347164592           
O[1]                     -0.65227                 -0.73707                 -0.95336                 -0.0848                  13.0007512227            -0.21629                 29.3445670018            
C[6]                     -0.78640                 -0.73812                 -0.71171                 0.04828                  -6.13936927772           0.02641                  -3.57800899583           
H[10]                    0.2409                   0.2414                   0.2274                   0.0005                   0.207555002076           -0.014                   -5.79950289975           
H[11]                    0.2346                   0.2304                   0.2123                   -0.0042                  -1.79028132992           -0.0181                  -7.85590277778           
H[12]                    0.2002                   0.1999                   0.1958                   -0.0003                  -0.14985014985           -0.0041                  -2.05102551276           
H[13]                    0.1963                   0.2090                   0.1933                   0.0127                   6.46968925115            -0.0157                  -7.51196172249           
H[14]                    0.2439                   0.2382                   0.2183                   -0.0057                  -2.33702337023           -0.0199                  -8.3543240974            
H[15]                    0.1788                   0.1753                   0.2212                   -0.0035                  -1.95749440716           0.0459                   26.1836851112            
