ATOM                     CORE                     CORE                     CORE                     TS - REAC                % CHANGE                 PROD - TS                % CHANGE                 
C[9]                     1.99947                  1.99940                  1.99943                  -7e-05                   -0.00350092774585        3e-05                    0.00150045013504         
O[3]                     1.99979                  1.99979                  1.99980                  0.0                      0.0                      1.00000000001e-05        0.000500052505516        
O[4]                     1.99979                  1.99980                  1.99980                  1.00000000001e-05        0.000500052505516        0.0                      0.0                      
C[7]                     1.99894                  1.99891                  1.99916                  -3e-05                   -0.00150079542157        0.00025                  0.0125068162148          
C[8]                     1.99943                  1.99946                  1.99943                  3e-05                    0.00150042762187         -3e-05                   -0.00150040510938        
O[2]                     1.99984                  1.99978                  1.99978                  -6.00000000002e-05       -0.00300024001921        0.0                      0.0                      
C[5]                     1.99931                  1.99913                  1.99915                  -0.00018                 -0.00900310607159        1.99999999999e-05        0.0010004351893          
O[1]                     1.99977                  1.99978                  1.99984                  9.99999999984e-06        0.000500057506605        6.00000000002e-05        0.00300033003631         
C[6]                     1.99941                  1.99938                  1.99943                  -3e-05                   -0.00150044263057        5.00000000001e-05        0.00250077524033         
H[10]                    0.0000                   0.0000                   0.0000                   0.0                      division by zero         0.0                      division by zero         
H[11]                    0.0000                   0.0000                   0.0000                   0.0                      division by zero         0.0                      division by zero         
H[12]                    0.0000                   0.0000                   0.0000                   0.0                      division by zero         0.0                      division by zero         
H[13]                    0.0000                   0.0000                   0.0000                   0.0                      division by zero         0.0                      division by zero         
H[14]                    0.0000                   0.0000                   0.0000                   0.0                      division by zero         0.0                      division by zero         
H[15]                    0.0000                   0.0000                   0.0000                   0.0                      division by zero         0.0                      division by zero         
