ATOM                     TOTAL                    TOTAL                    TOTAL                    TS - REAC                % CHANGE                 PROD - TS                % CHANGE                 
C[9]                     5.24546                  5.26766                  5.30032                  0.0222                   0.423223130097           0.03266                  0.620009643751           
O[3]                     8.82317                  8.80906                  8.80427                  -0.01411                 -0.159919847402          -0.00479                 -0.0543758357872         
O[4]                     8.83235                  8.82061                  8.79604                  -0.01174                 -0.132920457183          -0.02457                 -0.278552163626          
C[7]                     5.87964                  5.70348                  5.50804                  -0.17616                 -2.99610180215           -0.19544                 -3.4266798516            
C[8]                     6.74037                  6.88474                  6.71965                  0.14437                  2.14187055013            -0.16509                 -2.39791190372           
O[2]                     8.91601                  8.76751                  8.64294                  -0.1485                  -1.66554321944           -0.12457                 -1.42081389129           
C[5]                     5.41932                  5.56620                  5.83227                  0.14688                  2.71030313766            0.26607                  4.78010132586            
O[1]                     8.65227                  8.73707                  8.95336                  0.0848                   0.9800896181             0.21629                  2.47554386081            
C[6]                     6.78640                  6.73812                  6.71171                  -0.04828                 -0.711422845691          -0.02641                 -0.391949089657          
H[10]                    0.7590                   0.7586                   0.7725                   -0.0004                  -0.0527009222661         0.0139                   1.83232269971            
H[11]                    0.7653                   0.7695                   0.7876                   0.0042                   0.548804390435           0.0181                   2.35217673814            
H[12]                    0.7997                   0.8000                   0.8041                   0.0003                   0.0375140677754          0.0041                   0.5125                   
H[13]                    0.8036                   0.7909                   0.8066                   -0.0127                  -1.58038825286           0.0157                   1.98508028828            
H[14]                    0.7560                   0.7617                   0.7816                   0.0057                   0.753968253968           0.0199                   2.6125771301             
H[15]                    0.8211                   0.8246                   0.7787                   0.0035                   0.426257459506           -0.0459                  -5.56633519282           
