BOND TYPE                ATOMS                    ENERGY                   
BD                       C[9]- O[3]               -0.62203                 
BD                       C[9]- O[3]               -0.03753                 
BD                       C[9]- O[4]               -0.61662                 
BD                       C[9]- C[7]               -0.22434                 
BD                       C[7]- C[8]               -0.24039                 
BD                       C[7]- O[2]               -0.53741                 
BD                       C[7]- C[5]               -0.28260                 
                                                                           
BD                       C[8]- H[13               -0.2043                  
BD                       C[8]- H[14               -0.1943                  
BD                       C[8]- H[15               -0.2111                  
BD                       C[5]- O[1]               -0.77803                 
BD                       C[5]- O[1]               -0.07874                 
BD                       C[5]- C[6]               -0.32850                 
BD                       C[6]- H[10               -0.2423                  
BD                       C[6]- H[11               -0.2391                  
BD                       C[6]- H[12               -0.2451                  
CR                       C[9]                     -9.83452                 
CR                       O[3]                     18.53029                 
CR                       O[4]                     18.53075                 
CR                       C[7]                     -9.79200                 
CR                       C[8]                     -9.75226                 
CR                       O[2]                     18.48638                 
CR                       C[5]                     -9.85076                 
CR                       O[1]                     18.58351                 
CR                       C[6]                     -9.78919                 
LP                       O[3]                     -0.36001                 
LP                       O[3]                     0.09111                  
LP                       O[4]                     -0.36134                 
LP                       O[4]                     0.08889                  
LP                       O[4]                     0.08451                  
LP                       O[2]                     -0.34731                 
LP                       O[2]                     0.13234                  
LP                       O[2]                     0.13250                  
LP                       O[1]                     -0.39939                 
LP                       O[1]                     0.02941                  
RY*                      C[9]                     1.04456                  
RY*                      C[9]                     1.16647                  
RY*                      C[9]                     2.09228                  
RY*                      C[9]                     2.01842                  
RY*                      C[9]                     2.79187                  
RY*                      C[9]                     1.13311                  
RY*                      C[9]                     1.53780                  
RY*                      C[9]                     0.93532                  
RY*                      C[9]                     2.60824                  
RY*                      C[9]                     2.82694                  
RY*                      C[9]                     0.85052                  
RY*                      C[9]                     1.60041                  
RY*                      C[9]                     1.27090                  
RY*                      C[9]                     2.41431                  
RY*                      O[3]                     0.77952                  
RY*                      O[3]                     0.81871                  
RY*                      O[3]                     0.77805                  
RY*                      O[3]                     1.19923                  
RY*                      O[3]                     1.99284                  
RY*                      O[3]                     1.72042                  
RY*                      O[3]                     1.82504                  
RY*                      O[3]                     2.67055                  
RY*                      O[3]                     1.63470                  
RY*                      O[3]                     4.11578                  
RY*                      O[3]                     2.46177                  
RY*                      O[3]                     2.19128                  
RY*                      O[3]                     2.26995                  
RY*                      O[3]                     2.36288                  
RY*                      O[4]                     0.75834                  
RY*                      O[4]                     0.80961                  
RY*                      O[4]                     0.93385                  
RY*                      O[4]                     0.96092                  
RY*                      O[4]                     2.07813                  
RY*                      O[4]                     1.75647                  
RY*                      O[4]                     1.69719                  
RY*                      O[4]                     1.88917                  
RY*                      O[4]                     2.45261                  
RY*                      O[4]                     4.05145                  
RY*                      O[4]                     2.26636                  
RY*                      O[4]                     2.64941                  
RY*                      O[4]                     2.25309                  
RY*                      O[4]                     2.33355                  
RY*                      C[7]                     1.29695                  
RY*                      C[7]                     1.28872                  
RY*                      C[7]                     1.46775                  
RY*                      C[7]                     1.70065                  
RY*                      C[7]                     1.99666                  
RY*                      C[7]                     1.62940                  
