BOND TYPE                ATOMS                    DEL_E (R->TS)            DEL_E (TS->P)            
BD                       C[7]- O[2]               -0.11001                 -0.096                   
BD                       C[7]- C[5]               -1.43951                 0.56654                  
BD                       C[7]- C[9]               -0.05841                 1.52788                  
BD                       C[7]- C[8]               -1.00131                 0.98988                  
BD                       C[5]- O[1]               N/A                      0.07634                  
BD                       C[5]- O[1]               0.24623                  0.96737                  
BD                       C[5]- C[6]               -0.61045                 N/A                      
BD                       C[6]- H[10]              0.05797                  N/A                      
BD                       C[6]- H[11]              -0.64132                 0.17957                  
BD                       C[6]- H[12]              -1.60328                 1.49202                  
BD                       C[9]- O[3]               -1.03818                 -0.48564                 
BD                       C[9]- O[4]               0.72318                  0.82681                  
BD                       C[9]- O[4]               0.02389                  N/A                      
BD                       C[8]- H[13]              -0.93807                 0.02567                  
BD                       C[8]- H[14]              -0.37297                 0.97577                  
BD                       C[8]- H[15]              0.00302                  0.01523                  
CR                       C[7]                     -0.95802                 0.96135                  
CR                       O[2]                     0.00968                  0.02317                  
CR                       C[5]                     -0.95583                 0.95023                  
CR                       O[1]                     0.01021                  -0.01248                 
CR                       C[6]                     -0.93223                 1.51187                  
CR                       C[9]                     0.01164                  -0.09458                 
CR                       O[3]                     -0.91445                 0.50908                  
CR                       O[4]                     -0.03889                 1.40292                  
CR                       C[8]                     -0.62339                 0.9018                   
LP                       O[2]                     -1.51203                 -0.55214                 
LP                       O[2]                     -1.03764                 0.05152                  
LP                       O[2]                     0.05374                  0.94536                  
LP                       O[1]                     -1.41584                 0.44424                  
LP                       O[1]                     0.5113                   -0.00411                 
LP                       O[3]                     -0.95828                 0.92184                  
LP                       O[3]                     -0.00418                 -0.01752                 
LP                       O[3]                     -0.93833                 0.93522                  
LP                       O[4]                     -0.00391                 0.00977                  
LP                       O[4]                     -0.95497                 0.95355                  
RY*                      C[7]                     -0.00876                 -0.01793                 
RY*                      C[7]                     -0.93793                 0.05557                  
RY*                      C[7]                     -0.03137                 0.03294                  
RY*                      C[7]                     0.03744                  -0.05901                 
RY*                      C[7]                     0.0108                   0.02363                  
RY*                      C[7]                     -0.02824                 -0.01438                 
RY*                      C[7]                     0.01078                  0.02022                  
RY*                      C[7]                     -0.01319                 0.01452                  
RY*                      C[7]                     0.01079                  0.01098                  
RY*                      C[7]                     0.01384                  -0.03295                 
RY*                      C[7]                     -0.01871                 0.39783                  
RY*                      C[7]                     -0.01026                 -0.47694                 
RY*                      C[7]                     -0.48991                 -0.04616                 
RY*                      C[7]                     -0.49007                 -0.46519                 
RY*                      O[2]                     0.43373                  -0.03441                 
RY*                      O[2]                     -0.04592                 0.02057                  
RY*                      O[2]                     -0.04608                 0.50405                  
RY*                      O[2]                     0.42198                  0.50457                  
RY*                      O[2]                     -0.05767                 -0.41855                 
RY*                      O[2]                     -0.05783                 0.06493                  
RY*                      O[2]                     0.01327                  0.06545                  
RY*                      O[2]                     -0.41553                 -0.02143                 
RY*                      O[2]                     0.45239                  0.43488                  
RY*                      O[2]                     0.02359                  0.43795                  
RY*                      O[2]                     -0.01027                 -0.47342                 
RY*                      O[2]                     -0.46139                 -0.01711                 
RY*                      O[2]                     0.44172                  -0.01404                 
RY*                      O[2]                     -0.0094                  -0.47496                 
RY*                      C[5]                     0.44326                  -0.01865                 
RY*                      C[5]                     -0.00786                 -0.01558                 
RY*                      C[5]                     -0.01531                 -0.01238                 
RY*                      C[5]                     -0.46554                 0.44294                  
RY*                      C[5]                     -0.46116                 -0.46843                 
RY*                      C[5]                     0.44074                  -0.01311                 
RY*                      C[5]                     -0.00949                 -0.11962                 
RY*                      C[5]                     -0.00511                 0.04657                  
RY*                      C[5]                     -0.08403                 0.4826                   
RY*                      C[5]                     -0.0758                  0.72877                  
RY*                      C[5]                     -0.25483                 0.16713                  
RY*                      C[5]                     -0.48773                 1.15968                  
RY*                      C[5]                     -0.78374                 0.54379                  
RY*                      C[5]                     -0.41648                 0.88467                  
RY*                      O[1]                     -0.69112                 0.59839                  
RY*                      O[1]                     -0.96631                 1.29577                  
RY*                      O[1]                     -1.20711                 0.27153                  
RY*                      O[1]                     -0.94699                 -0.39105                 
RY*                      O[1]                     0.0418                   0.18689                  
RY*                      O[1]                     -0.17305                 0.67971                  
RY*                      O[1]                     -0.33893                 -0.3448                  
RY*                      O[1]                     -3.21911                 -0.17861                 
RY*                      O[1]                     0.14115                  0.25742                  
RY*                      O[1]                     0.14938                  0.50359                  
RY*                      O[1]                     -0.02965                 -0.05805                 
RY*                      O[1]                     -0.26255                 0.9345                   
RY*                      O[1]                     -0.55856                 0.31861                  
RY*                      O[1]                     -0.1913                  0.65949                  
RY*                      C[6]                     -0.46594                 0.37321                  
RY*                      C[6]                     -0.74113                 1.07059                  
RY*                      C[6]                     -0.98193                 0.04635                  
RY*                      C[6]                     -0.72181                 -0.61623                 
RY*                      C[6]                     0.26698                  -0.03829                 
RY*                      C[6]                     0.05213                  0.45453                  
RY*                      C[6]                     -0.11375                 -0.80624                 
RY*                      C[6]                     -2.99393                 -0.64005                 
RY*                      C[6]                     0.60259                  -0.20402                 
RY*                      C[6]                     0.61082                  0.04215                  
RY*                      C[6]                     0.43179                  -0.51949                 
RY*                      C[6]                     0.19889                  0.47306                  
RY*                      C[6]                     -0.09712                 -0.14283                 
RY*                      C[6]                     0.27014                  0.19805                  
RY*                      H[10]                    -0.0045                  -0.08823                 
RY*                      H[11]                    -0.27969                 0.60915                  
RY*                      H[12]                    -0.52049                 -0.41509                 
RY*                      C[9]                     -0.26037                 -1.07767                 
RY*                      C[9]                     0.72842                  -0.49973                 
RY*                      C[9]                     0.51357                  -0.00691                 
RY*                      C[9]                     0.34769                  -0.27718                 
RY*                      C[9]                     -2.53249                 -0.11099                 
RY*                      C[9]                     0.07353                  0.32504                  
RY*                      C[9]                     0.08176                  0.57121                  
RY*                      C[9]                     -0.09727                 0.00957                  
RY*                      C[9]                     -0.33017                 1.00212                  
RY*                      C[9]                     -0.62618                 0.38623                  
RY*                      C[9]                     -0.25892                 0.72711                  
RY*                      C[9]                     -0.53356                 0.44083                  
RY*                      C[9]                     -0.80875                 1.13821                  
RY*                      C[9]                     -1.04955                 0.11397                  
RY*                      O[3]                     -0.78943                 -0.54861                 
RY*                      O[3]                     0.19936                  0.02933                  
RY*                      O[3]                     -0.01549                 0.52215                  
RY*                      O[3]                     -0.18137                 -0.90285                 
RY*                      O[3]                     -3.06155                 -0.73666                 
RY*                      O[3]                     0.6992                   -0.30063                 
