BOND_TYPE ATOMS     REAC                TS                  PROD                TS-REAC             % CHANGE            PROD-TS             % CHANGE            
BD    C[7]- O[2]    1.98718             1.98787             1.99301             0.00069             0.0347225716845     0.00514             0.258568216231      
BD    C[7]- C[5]    1.96914             1.97574             1.96510             0.0066              0.335171699321      -0.01064            -0.538532397988     
BD    C[7]- C[9]    VALUE NOT FOUND     1.97132             VALUE NOT FOUND     N/A                 N/A                 N/A                 N/A                 
BD    C[7]- C[8]    1.95809             1.69234             VALUE NOT FOUND     -0.26575            -13.5718991466      N/A                 N/A                 
BD    C[5]- O[1]    1.99633             1.99573             1.99093             -0.0006             -0.0300551512025    -0.0048             -0.240513496315     
BD    C[5]- O[1]    1.99633             1.98918             1.99093             -0.00715            -0.358157218496     0.00175             0.0879759498889     
BD    C[5]- C[6]    1.99089             1.98945             VALUE NOT FOUND     -0.00144            -0.0723294606935    N/A                 N/A                 
BD    C[6]- H[10]   1.98935             1.98787             1.99073             -0.00148            -0.0743961595496    0.00286             0.143872587242      
BD    C[6]- H[11]   1.98151             1.97892             1.98971             -0.00259            -0.13070839915      0.01079             0.545246902351      
BD    C[6]- H[12]   1.98157             1.98792             1.99038             0.00635             0.320452974157      0.00246             0.123747434504      
BD    C[9]- O[3]    1.99485             1.99576             1.99493             0.00091             0.0456174649723     -0.00083            -0.0415881669139    
BD    C[9]- O[4]    1.99121             1.99108             1.99441             -0.00013            -0.00652869360841   0.00333             0.167245916789      
BD    C[9]- O[4]    1.99121             1.98437             1.99441             -0.00684            -0.343509725242     0.01004             0.50595403075       
BD    C[8]- H[13]   1.99167             1.99595             1.98901             0.00428             0.214895037833      -0.00694            -0.347704100804     
BD    C[8]- H[14]   1.98533             1.98215             1.99069             -0.00318            -0.160174882765     0.00854             0.430845294251      
BD    C[8]- H[15]   1.99105             1.99248             1.99142             0.00143             0.0718214007684     -0.00106            -0.0532000321208    
CR    C[7]          1.99894             1.99891             1.99916             -3e-05              -0.00150079542157   0.00025             0.0125068162148     
CR    O[2]          1.99984             1.99978             1.99978             -6.00000000002e-05  -0.00300024001921   0.0                 0.0                 
CR    C[5]          1.99931             1.99913             1.99914             -0.00018            -0.00900310607159   9.99999999984e-06   0.000500217594646   
CR    O[1]          1.99976             1.99977             1.99984             1.00000000001e-05   0.000500060007204   7e-05               0.00350040254629    
CR    C[6]          1.99941             1.99938             1.99943             -3e-05              -0.00150044263057   5.00000000001e-05   0.00250077524033    
CR    C[9]          1.99948             1.9994              1.99944             -7.99999999999e-05  -0.00400104027046   4e-05               0.00200060018006    
CR    O[3]          1.99979             1.99979             1.99980             0.0                 0.0                 1.00000000001e-05   0.000500052505516   
CR    O[4]          1.99979             1.9998              1.99980             1.00000000001e-05   0.000500052505516   0.0                 0.0                 
CR    C[8]          1.99943             1.99943             1.99943             0.0                 0.0                 0.0                 0.0                 
LP    O[2]          1.98025             1.97793             1.98033             -0.00232            -0.117156924631     0.0024              0.121338975596      
LP    O[2]          1.98025             1.87545             1.98033             -0.1048             -5.29226107815      0.10488             5.59225785811       
LP    O[2]          1.98025             1.60066             1.98033             -0.37959            -19.1687918192      0.37967             23.7195906688       
LP    O[1]          1.97720             1.97662             1.97962             -0.00058            -0.0293344123002    0.003               0.151774240876      
LP    O[1]          1.97720             1.88982             1.97962             -0.08738            -4.41938094275      0.0898              4.75177530135       
LP    O[3]          1.97641             1.97709             1.97792             0.00068             0.0344058166069     0.00083             0.0419808911076     
LP    O[3]          1.97641             1.88686             1.97792             -0.08955            -4.53094246639      0.09106             4.82600722894       
LP    O[3]          1.97641             1.60575             1.97792             -0.37066            -18.7542058581      0.37217             23.177331465        
LP    O[4]          1.97534             1.97757             1.97827             0.00223             0.11289195784       0.0007              0.0353969770982     
LP    O[4]          1.97534             1.885               1.97827             -0.09034            -4.57338989744      0.09327             4.94801061008       
BD*   C[7]- O[2]    0.01357             0.03324             0.01272             0.01967             144.952100221       -0.02052            -61.7328519856      
BD*   C[7]- C[5]    0.12746             0.10492             0.13212             -0.02254            -17.6839792876      0.0272              25.9245139154       
BD*   C[7]- C[9]    VALUE NOT FOUND     0.13707             VALUE NOT FOUND     N/A                 N/A                 N/A                 N/A                 
BD*   C[7]- C[8]    0.08436             0.37081             VALUE NOT FOUND     0.28645             339.556661925       N/A                 N/A                 
BD*   C[5]- O[1]    0.01448             0.01594             0.01600             0.00146             10.0828729282       6e-05               0.376411543287      
BD*   C[5]- O[1]    0.01448             0.33644             0.01600             0.32196             2223.48066298       -0.32044            -95.2443229105      
BD*   C[5]- C[6]    0.07069             0.06082             VALUE NOT FOUND     -0.00987            -13.9623709153      N/A                 N/A                 
BD*   C[6]- H[10]   0.00974             0.00973             0.00686             -1e-05              -0.102669404517     -0.00287            -29.4964028777      
BD*   C[6]- H[11]   0.00801             0.00923             0.01409             0.00122             15.2309612984       0.00486             52.6543878657       
BD*   C[6]- H[12]   0.01244             0.01291             0.01040             0.00047             3.77813504823       -0.00251            -19.4422927963      
BD*   C[9]- O[3]    0.07360             0.0571              0.05842             -0.0165             -22.4184782609      0.00132             2.31173380035       
BD*   C[9]- O[4]    0.07564             0.11063             0.06630             0.03499             46.2585933369       -0.04433            -40.0705052879      
BD*   C[9]- O[4]    0.07564             0.35148             0.06630             0.27584             364.674775251       -0.28518            -81.1369067941      
BD*   C[8]- H[13]   0.01305             0.00412             0.01296             -0.00893            -68.4291187739      0.00884             214.563106796       
BD*   C[8]- H[14]   0.01151             0.01007             0.01475             -0.00144            -12.5108601216      0.00468             46.4746772592       
BD*   C[8]- H[15]   0.01966             0.01351             0.00710             -0.00615            -31.2817904374      -0.00641            -47.4463360474      
