BOND_TYPE ATOMS     REAC                TS                  PROD                TS-REAC             % CHANGE            PROD-TS             % CHANGE            
BD    C[7]- O[2]    1.98718             1.98787             1.99301             0.00069             0.000347225716845   0.00514             0.00258568216231    
BD    C[7]- C[5]    1.96914             1.97574             1.96510             0.0066              0.00335171699321    -0.01064            -0.00538532397988   
BD    C[7]- C[9]    VALUE NOT FOUND     1.97132             VALUE NOT FOUND     N/A                 N/A                 N/A                 N/A                 
BD    C[7]- C[8]    1.95809             1.69234             VALUE NOT FOUND     -0.26575            -0.135718991466     N/A                 N/A                 
BD    C[5]- O[1]    1.99633             1.99573             1.99093             -0.0006             -0.000300551512025  -0.0048             -0.00240513496315   
BD    C[5]- O[1]    1.99633             1.98918             1.99093             -0.00715            -0.00358157218496   0.00175             0.000879759498889   
BD    C[5]- C[6]    1.99089             1.98945             VALUE NOT FOUND     -0.00144            -0.000723294606935  N/A                 N/A                 
BD    C[6]- H[10]   1.98935             1.98787             1.99073             -0.00148            -0.000743961595496  0.00286             0.00143872587242    
BD    C[6]- H[11]   1.98151             1.97892             1.98971             -0.00259            -0.0013070839915    0.01079             0.00545246902351    
BD    C[6]- H[12]   1.98157             1.98792             1.99038             0.00635             0.00320452974157    0.00246             0.00123747434504    
BD    C[9]- O[3]    1.99485             1.99576             1.99493             0.00091             0.000456174649723   -0.00083            -0.000415881669139  
BD    C[9]- O[4]    1.99121             1.99108             1.99441             -0.00013            -6.52869360841e-05  0.00333             0.00167245916789    
BD    C[9]- O[4]    1.99121             1.98437             1.99441             -0.00684            -0.00343509725242   0.01004             0.0050595403075     
BD    C[8]- H[13]   1.99167             1.99595             1.98901             0.00428             0.00214895037833    -0.00694            -0.00347704100804   
BD    C[8]- H[14]   1.98533             1.98215             1.99069             -0.00318            -0.00160174882765   0.00854             0.00430845294251    
BD    C[8]- H[15]   1.99105             1.99248             1.99142             0.00143             0.000718214007684   -0.00106            -0.000532000321208  
CR    C[7]          1.99894             1.99891             1.99916             -3e-05              -1.50079542157e-05  0.00025             0.000125068162148   
CR    O[2]          1.99984             1.99978             1.99978             -6.00000000002e-05  -3.00024001921e-05  0.0                 0.0                 
CR    C[5]          1.99931             1.99913             1.99914             -0.00018            -9.00310607159e-05  9.99999999984e-06   5.00217594646e-06   
CR    O[1]          1.99976             1.99977             1.99984             1.00000000001e-05   5.00060007204e-06   7e-05               3.50040254629e-05   
CR    C[6]          1.99941             1.99938             1.99943             -3e-05              -1.50044263057e-05  5.00000000001e-05   2.50077524033e-05   
CR    C[9]          1.99948             1.9994              1.99944             -7.99999999999e-05  -4.00104027046e-05  4e-05               2.00060018006e-05   
CR    O[3]          1.99979             1.99979             1.99980             0.0                 0.0                 1.00000000001e-05   5.00052505516e-06   
CR    O[4]          1.99979             1.9998              1.99980             1.00000000001e-05   5.00052505516e-06   0.0                 0.0                 
CR    C[8]          1.99943             1.99943             1.99943             0.0                 0.0                 0.0                 0.0                 
LP    O[2]          1.98025             1.97793             1.98033             -0.00232            -0.00117156924631   0.0024              0.00121338975596    
LP    O[2]          1.98025             1.87545             1.98033             -0.1048             -0.0529226107815    0.10488             0.0559225785811     
LP    O[2]          1.98025             1.60066             1.98033             -0.37959            -0.191687918192     0.37967             0.237195906688      
LP    O[1]          1.97720             1.97662             1.97962             -0.00058            -0.000293344123002  0.003               0.00151774240876    
LP    O[1]          1.97720             1.88982             1.97962             -0.08738            -0.0441938094275    0.0898              0.0475177530135     
LP    O[3]          1.97641             1.97709             1.97792             0.00068             0.000344058166069   0.00083             0.000419808911076   
LP    O[3]          1.97641             1.88686             1.97792             -0.08955            -0.0453094246639    0.09106             0.0482600722894     
LP    O[3]          1.97641             1.60575             1.97792             -0.37066            -0.187542058581     0.37217             0.23177331465       
LP    O[4]          1.97534             1.97757             1.97827             0.00223             0.0011289195784     0.0007              0.000353969770982   
LP    O[4]          1.97534             1.885               1.97827             -0.09034            -0.0457338989744    0.09327             0.0494801061008     
BD*   C[7]- O[2]    0.01357             0.03324             0.01272             0.01967             1.44952100221       -0.02052            -0.617328519856     
BD*   C[7]- C[5]    0.12746             0.10492             0.13212             -0.02254            -0.176839792876     0.0272              0.259245139154      
BD*   C[7]- C[9]    VALUE NOT FOUND     0.13707             VALUE NOT FOUND     N/A                 N/A                 N/A                 N/A                 
BD*   C[7]- C[8]    0.08436             0.37081             VALUE NOT FOUND     0.28645             3.39556661925       N/A                 N/A                 
BD*   C[5]- O[1]    0.01448             0.01594             0.01600             0.00146             0.100828729282      6e-05               0.00376411543287    
BD*   C[5]- O[1]    0.01448             0.33644             0.01600             0.32196             22.2348066298       -0.32044            -0.952443229105     
BD*   C[5]- C[6]    0.07069             0.06082             VALUE NOT FOUND     -0.00987            -0.139623709153     N/A                 N/A                 
BD*   C[6]- H[10]   0.00974             0.00973             0.00686             -1e-05              -0.00102669404517   -0.00287            -0.294964028777     
BD*   C[6]- H[11]   0.00801             0.00923             0.01409             0.00122             0.152309612984      0.00486             0.526543878657      
BD*   C[6]- H[12]   0.01244             0.01291             0.01040             0.00047             0.0377813504823     -0.00251            -0.194422927963     
BD*   C[9]- O[3]    0.07360             0.0571              0.05842             -0.0165             -0.224184782609     0.00132             0.0231173380035     
BD*   C[9]- O[4]    0.07564             0.11063             0.06630             0.03499             0.462585933369      -0.04433            -0.400705052879     
BD*   C[9]- O[4]    0.07564             0.35148             0.06630             0.27584             3.64674775251       -0.28518            -0.811369067941     
BD*   C[8]- H[13]   0.01305             0.00412             0.01296             -0.00893            -0.684291187739     0.00884             2.14563106796       
BD*   C[8]- H[14]   0.01151             0.01007             0.01475             -0.00144            -0.125108601216     0.00468             0.464746772592      
BD*   C[8]- H[15]   0.01966             0.01351             0.00710             -0.00615            -0.312817904374     -0.00641            -0.474463360474     
